Component,Name,Start_Time,End_Time,Total_Time,Assembly_Time,Main_Assembly_Time,Transport_Time,Status,Transport_Delay
Processor,Processor_0,0.0,9.451655683222267,9.451655683222267,1.0,5.0,2.0,Success,-1.451655683222267
GraphicsCard,GraphicsCard_0,0.0,17.52149678461432,17.52149678461432,1.0,5.0,2.0,Success,-9.521496784614321
Storage,Storage_0,0.0,24.64642398682878,24.64642398682878,1.0,3.922532588454376,2.0,Success,-17.723891398374402
Box,Box_0,0.0,31.98045432586503,31.98045432586503,1.0,3.922532588454376,2.0,Success,-25.057921737410652
CoolingSystem,CoolingSystem_11,0.0,36.0,36.0,12.0,4.447731755424063,4.0,Success,-15.552268244575938
PowerSupply,PowerSupply_0,0.0,40.7887221203688,40.7887221203688,1.0,5.000000000000001,2.0,Success,-32.7887221203688
RAM,RAM_0,0.0,46.21046459642883,46.21046459642883,1.0,3.3552986512524092,2.0,Success,-39.85516594517642
Motherboard,Motherboard_0,0.0,54.09235174679563,54.09235174679563,1.0,5.0,2.0,Success,-46.09235174679563
CoolingSystem,CoolingSystem_0,0.0,62.25070543502165,62.25070543502165,1.0,4.447731755424063,2.0,Success,-54.802973679597585
Computer,Computer_0,,68.0714126020398,,5.0,,,Success,
GraphicsCard,GraphicsCard_1,0.0,71.60289158558572,71.60289158558572,2.0,5.0,3.0,Success,-61.60289158558572
Storage,Storage_1,0.0,79.72531497365291,79.72531497365291,2.0,3.922532588454376,3.0,Success,-70.80278238519854
Box,Box_1,0.0,87.78030654045925,87.78030654045925,2.0,3.922532588454376,3.0,Success,-78.85777395200488
PowerSupply,PowerSupply_1,0.0,96.77753550407513,96.77753550407513,2.0,5.000000000000001,3.0,Success,-86.77753550407513
RAM,RAM_1,0.0,104.89289032275519,104.89289032275519,2.0,3.3552986512524092,3.0,Success,-96.53759167150278
Motherboard,Motherboard_1,0.0,113.92635168311598,113.92635168311598,2.0,5.0,3.0,Success,-103.92635168311598
CoolingSystem,CoolingSystem_1,0.0,123.32429163027719,123.32429163027719,2.0,4.447731755424063,3.0,Success,-113.87655987485313
Processor,Processor_2,0.0,134.1597471306029,134.1597471306029,3.0,5.0,4.0,Success,-122.15974713060291
Computer,Computer_1,,139.4974734237758,,5.0,,,Success,
Storage,Storage_2,0.0,143.16516974108654,143.16516974108654,3.0,3.922532588454376,4.0,Success,-132.24263715263217
Box,Box_2,0.0,153.0471928954273,153.0471928954273,3.0,3.922532588454376,4.0,Success,-142.1246603069729
RAM,RAM_2,0.0,162.1122680457889,162.1122680457889,3.0,3.3552986512524092,4.0,Success,-151.7569693945365
Motherboard,Motherboard_2,0.0,172.51105311796815,172.51105311796815,3.0,5.0,4.0,Success,-160.51105311796815
CoolingSystem,CoolingSystem_2,0.0,182.7560573623224,182.7560573623224,3.0,4.447731755424063,4.0,Success,-171.30832560689834
Processor,Processor_3,0.0,190.26566942812056,190.26566942812056,4.0,5.0,2.0,Success,-179.26566942812056
GraphicsCard,GraphicsCard_3,0.0,198.15363932445575,198.15363932445575,4.0,5.0,2.0,Success,-187.15363932445575
Storage,Storage_3,0.0,204.6213097081587,204.6213097081587,4.0,3.922532588454376,2.0,Success,-194.69877711970432
Box,Box_3,0.0,212.51351940544384,212.51351940544384,4.0,3.922532588454376,2.0,Success,-202.59098681698947
RAM,RAM_3,0.0,218.46061478438818,218.46061478438818,4.0,3.3552986512524092,2.0,Success,-209.10531613313577
